+--------------+----------------------------------------+------------------------------------------------------------------------+
| biblionumber | author                                 | title                                                                  |
|          311 | Tagore, Abanindranath                  | Kheer er Putul.                                                        |
|          312 | Lahiri, Shanu                          | Char Shilpi O Tader Chhobi.                                            |
|          313 | Ray, Biswajit                          | Fakibaj Bador.                                                         |
|          314 | Chakraborty, Dr. Biswanath             | Napit Theke Doctor.                                                    |
|          315 | Dharmarajan, Geeta                     | Lal Ghuri.                                                             |
|          316 | Basak, Balaram                         | Bhaluk er Dolna.                                                       |
|          317 | Karlekar, Kalyani                      | Chhorar Chhorachhori.                                                  |
|          318 | Ray, Kinnar                            | Kapil Babur Kaler Gaan.                                                |
|          319 | Mitra, Oindrila                        | Ekti Gachh Ekla.                                                       |
|          320 | Sarkar, Pabitra                        | Pratham Boi.                                                           |
|          321 | Chakraborty, Nirendranath              | Chhere De Ma Kende Banchi.                                             |
|          322 | Ray, Sukumar                           | Khai Khai.                                                             |
|          323 | Mukhopadhyay, Mander                   | Aunty Giribala.                                                        |
|          324 | Chakraborty, Shibram                   | Kalkekashir Goyendagiri.                                               |
|          325 | Mitra Majumdar, Dakhinaranjan          | Kishor Granthabali.                                                    |
|          326 | Biswas, Shailendra                     | Samsad English to Bengali Dictionary.                                  |
|          327 | Ray, Sukumar                           | Sukumar Rachana Samagra.                                               |
|          328 | Das, Jibanananda                       | Sat ti Tarar Timir.                                                    |
|          329 | Bandopadhyay, Tarashankar              | Radha.                                                                 |
|          330 | Sarkar, Debabrata                      | Anu Galpa - 1.                                                         |
|          331 | Sarkar, Debabrata                      | Anu Galpa - 2.                                                         |
|          332 | Sarkar, Debabrata                      | Dana Bhanga Picassor Payra.                                            |
|          333 | Sarkar, Debabrata                      | Jekhane Pouchhobar Katha Chhilo Na.                                    |
|          334 | Sarkar, Debabrata                      | Bangla Haiku.                                                          |
|          335 | Misc                                   | Dushprapya Rahasya Kahini Sangraha -1.                                 |
|          336 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -1.                                       |
|          337 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -2.                                       |
|          338 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -3.                                       |
|          339 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -4.                                       |
|          340 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -5.                                       |
|          341 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -6.                                       |
|          342 | Bandopadhaya, Tarashankar              | Tara Shankar Rachanabali Vol -7.                                       |
